destination,origon,year,value,world_tot,pct_v_world,med_tot,pct_v_med,med_region,Latitude,Longitude
Albania,WORLD,1990,66013,152986157,0.000431497,16142994,0.004089266,Balkans,41,20
Albania,WORLD,1995,71354,161289976,0.000442396,18182342,0.003924357,Balkans,41,20
Albania,WORLD,2000,76695,173230585,0.000442734,20265739,0.003784466,Balkans,41,20
Albania,WORLD,2005,64739,191446828,0.000338157,25646897,0.002524243,Balkans,41,20
Albania,WORLD,2010,52784,220983187,0.00023886,32307811,0.001633784,Balkans,41,20
Albania,WORLD,2015,52031,247958644,0.000209837,36161904,0.001438835,Balkans,41,20
Albania,WORLD,2020,48810,280598105,0.00017395,40558200,0.001203456,Balkans,41,20
Bosnia and Herzegovina,WORLD,1990,56000,152986157,0.000366046,16142994,0.003468997,Balkans,44,18
Bosnia and Herzegovina,WORLD,1995,69476,161289976,0.000430752,18182342,0.00382107,Balkans,44,18
Bosnia and Herzegovina,WORLD,2000,82952,173230585,0.000478853,20265739,0.004093214,Balkans,44,18
Bosnia and Herzegovina,WORLD,2005,47287,191446828,0.000246998,25646897,0.001843771,Balkans,44,18
Bosnia and Herzegovina,WORLD,2010,38945,220983187,0.000176235,32307811,0.001205436,Balkans,44,18
Bosnia and Herzegovina,WORLD,2015,38597,247958644,0.000155659,36161904,0.001067339,Balkans,44,18
Bosnia and Herzegovina,WORLD,2020,36042,280598105,0.000128447,40558200,0.000888649,Balkans,44,18
Croatia,WORLD,1990,475438,152986157,0.003107719,16142994,0.029451662,Balkans,45.1667,15.5
Croatia,WORLD,1995,674085,161289976,0.004179336,18182342,0.037073607,Balkans,45.1667,15.5
Croatia,WORLD,2000,585298,173230585,0.003378722,20265739,0.028881158,Balkans,45.1667,15.5
Croatia,WORLD,2005,579273,191446828,0.003025764,25646897,0.022586475,Balkans,45.1667,15.5
Croatia,WORLD,2010,573248,220983187,0.00259408,32307811,0.017743325,Balkans,45.1667,15.5
Croatia,WORLD,2015,561093,247958644,0.002262849,36161904,0.015516135,Balkans,45.1667,15.5
Croatia,WORLD,2020,528056,280598105,0.001881894,40558200,0.01301971,Balkans,45.1667,15.5
Gibraltar,WORLD,1990,8709,152986157,5.69E-05,16142994,0.000539491,Southern Europe,36.1833,-5.3667
Gibraltar,WORLD,1995,8381,161289976,5.20E-05,18182342,0.000460942,Southern Europe,36.1833,-5.3667
Gibraltar,WORLD,2000,8054,173230585,4.65E-05,20265739,0.00039742,Southern Europe,36.1833,-5.3667
